"age_group","value","state","substance"
26plus,506,Minnesota,marijuana
All,781,Minnesota,marijuana
12to17,24,Mississippi,marijuana
18to25,78,Mississippi,marijuana
26plus,195,Mississippi,marijuana
All,297,Mississippi,marijuana
12to17,53,Missouri,marijuana
18to25,204,Missouri,marijuana
26plus,506,Missouri,marijuana
All,763,Missouri,marijuana
12to17,12,Montana,marijuana
18to25,44,Montana,marijuana
26plus,124,Montana,marijuana
All,180,Montana,marijuana
12to17,22,Nebraska,marijuana
18to25,73,Nebraska,marijuana
26plus,133,Nebraska,marijuana
All,227,Nebraska,marijuana
12to17,39,Nevada,marijuana
18to25,123,Nevada,marijuana
26plus,451,Nevada,marijuana
All,613,Nevada,marijuana
12to17,15,New Hampshire,marijuana
18to25,64,New Hampshire,marijuana
26plus,173,New Hampshire,marijuana
All,253,New Hampshire,marijuana
12to17,78,New Jersey,marijuana
18to25,304,New Jersey,marijuana
26plus,651,New Jersey,marijuana
All,1033,New Jersey,marijuana
12to17,31,New Mexico,marijuana
18to25,77,New Mexico,marijuana
26plus,250,New Mexico,marijuana
All,358,New Mexico,marijuana
12to17,177,New York,marijuana
18to25,782,New York,marijuana
26plus,1913,New York,marijuana
All,2871,New York,marijuana
12to17,101,North Carolina,marijuana
18to25,329,North Carolina,marijuana
26plus,885,North Carolina,marijuana
All,1316,North Carolina,marijuana
12to17,5,North Dakota,marijuana
18to25,26,North Dakota,marijuana
26plus,47,North Dakota,marijuana
All,78,North Dakota,marijuana
12to17,106,Ohio,marijuana
18to25,430,Ohio,marijuana
26plus,1021,Ohio,marijuana
All,1556,Ohio,marijuana
12to17,36,Oklahoma,marijuana
18to25,134,Oklahoma,marijuana
26plus,328,Oklahoma,marijuana
All,497,Oklahoma,marijuana
12to17,55,Oregon,marijuana
18to25,196,Oregon,marijuana
26plus,718,Oregon,marijuana
All,969,Oregon,marijuana
12to17,109,Pennsylvania,marijuana
18to25,436,Pennsylvania,marijuana
26plus,1207,Pennsylvania,marijuana
All,1752,Pennsylvania,marijuana
12to17,12,Rhode Island,marijuana
18to25,55,Rhode Island,marijuana
26plus,145,Rhode Island,marijuana
All,212,Rhode Island,marijuana
12to17,43,South Carolina,marijuana
18to25,139,South Carolina,marijuana
26plus,439,South Carolina,marijuana
All,620,South Carolina,marijuana
12to17,7,South Dakota,marijuana
18to25,24,South Dakota,marijuana
26plus,48,South Dakota,marijuana
All,80,South Dakota,marijuana
12to17,55,Tennessee,marijuana
18to25,203,Tennessee,marijuana
26plus,523,Tennessee,marijuana
All,780,Tennessee,marijuana
12to17,271,Texas,marijuana
18to25,817,Texas,marijuana
26plus,1774,Texas,marijuana
All,2862,Texas,marijuana
12to17,32,Utah,marijuana
18to25,104,Utah,marijuana
26plus,178,Utah,marijuana
All,314,Utah,marijuana
12to17,9,Vermont,marijuana
18to25,38,Vermont,marijuana
26plus,100,Vermont,marijuana
All,148,Vermont,marijuana
12to17,61,Virginia,marijuana
18to25,287,Virginia,marijuana
26plus,518,Virginia,marijuana
All,866,Virginia,marijuana
12to17,89,Washington,marijuana
18to25,336,Washington,marijuana
26plus,1199,Washington,marijuana
All,1624,Washington,marijuana
12to17,15,West Virginia,marijuana
18to25,58,West Virginia,marijuana
26plus,144,West Virginia,marijuana
All,217,West Virginia,marijuana
12to17,53,Wisconsin,marijuana
18to25,201,Wisconsin,marijuana
26plus,466,Wisconsin,marijuana
All,720,Wisconsin,marijuana
12to17,6,Wyoming,marijuana
18to25,18,Wyoming,marijuana
26plus,38,Wyoming,marijuana
All,61,Wyoming,marijuana
12to17,1,Alabama,meth
18to25,5,Alabama,meth
26plus,41,Alabama,meth
All,47,Alabama,meth
12to17,0,Alaska,meth
18to25,1,Alaska,meth
26plus,6,Alaska,meth
All,7,Alaska,meth
12to17,1,Arizona,meth
18to25,11,Arizona,meth
26plus,93,Arizona,meth
All,105,Arizona,meth
12to17,1,Arkansas,meth
18to25,3,Arkansas,meth
26plus,19,Arkansas,meth
All,23,Arkansas,meth
12to17,3,California,meth
18to25,34,California,meth
26plus,278,California,meth
All,315,California,meth
12to17,1,Colorado,meth
18to25,8,Colorado,meth
26plus,34,Colorado,meth
All,43,Colorado,meth
12to17,0,Connecticut,meth
18to25,2,Connecticut,meth
26plus,9,Connecticut,meth
All,11,Connecticut,meth
12to17,0,Delaware,meth
18to25,1,Delaware,meth
26plus,4,Delaware,meth
All,5,Delaware,meth
12to17,2,Florida,meth
18to25,11,Florida,meth
26plus,63,Florida,meth
All,76,Florida,meth
12to17,1,Georgia,meth
18to25,6,Georgia,meth
26plus,40,Georgia,meth
All,48,Georgia,meth
12to17,0,Hawaii,meth
18to25,1,Hawaii,meth
26plus,14,Hawaii,meth
All,15,Hawaii,meth
12to17,0,Idaho,meth
18to25,2,Idaho,meth
26plus,9,Idaho,meth
All,12,Idaho,meth
12to17,1,Illinois,meth
18to25,4,Illinois,meth
26plus,36,Illinois,meth
All,41,Illinois,meth
12to17,2,Indiana,meth
18to25,11,Indiana,meth
26plus,39,Indiana,meth
All,52,Indiana,meth
12to17,1,Iowa,meth
18to25,4,Iowa,meth
26plus,25,Iowa,meth
All,29,Iowa,meth
12to17,1,Kansas,meth
18to25,4,Kansas,meth
26plus,26,Kansas,meth
All,31,Kansas,meth
12to17,1,Kentucky,meth
18to25,7,Kentucky,meth
26plus,37,Kentucky,meth
All,45,Kentucky,meth
12to17,1,Louisiana,meth
18to25,3,Louisiana,meth
26plus,27,Louisiana,meth
All,30,Louisiana,meth
12to17,0,Maine,meth
18to25,1,Maine,meth
26plus,5,Maine,meth
All,6,Maine,meth
12to17,0,Maryland,meth
18to25,2,Maryland,meth
26plus,13,Maryland,meth
All,16,Maryland,meth
12to17,1,Massachusetts,meth
18to25,3,Massachusetts,meth
26plus,17,Massachusetts,meth
All,20,Massachusetts,meth
12to17,1,Michigan,meth
18to25,6,Michigan,meth
26plus,24,Michigan,meth
All,32,Michigan,meth
12to17,1,Minnesota,meth
18to25,5,Minnesota,meth
26plus,31,Minnesota,meth
All,37,Minnesota,meth
12to17,0,Mississippi,meth
18to25,2,Mississippi,meth
26plus,20,Mississippi,meth
All,23,Mississippi,meth
12to17,1,Missouri,meth
18to25,7,Missouri,meth
26plus,37,Missouri,meth
All,46,Missouri,meth
12to17,0,Montana,meth
18to25,2,Montana,meth
26plus,10,Montana,meth
All,13,Montana,meth
12to17,0,Nebraska,meth
18to25,2,Nebraska,meth
26plus,7,Nebraska,meth
All,9,Nebraska,meth
12to17,0,Nevada,meth
18to25,4,Nevada,meth
26plus,26,Nevada,meth
All,31,Nevada,meth
12to17,0,New Hampshire,meth
18to25,1,New Hampshire,meth
26plus,4,New Hampshire,meth
All,5,New Hampshire,meth
12to17,1,New Jersey,meth
18to25,3,New Jersey,meth
26plus,24,New Jersey,meth
All,28,New Jersey,meth
12to17,0,New Mexico,meth
18to25,3,New Mexico,meth
26plus,11,New Mexico,meth
All,14,New Mexico,meth
12to17,2,New York,meth
18to25,6,New York,meth
26plus,32,New York,meth
All,40,New York,meth
12to17,1,North Carolina,meth
18to25,7,North Carolina,meth
26plus,41,North Carolina,meth
All,49,North Carolina,meth
12to17,0,North Dakota,meth
18to25,1,North Dakota,meth
26plus,5,North Dakota,meth
All,7,North Dakota,meth
12to17,2,Ohio,meth
18to25,12,Ohio,meth
26plus,69,Ohio,meth
All,83,Ohio,meth
12to17,1,Oklahoma,meth
18to25,6,Oklahoma,meth
26plus,32,Oklahoma,meth
All,39,Oklahoma,meth
12to17,1,Oregon,meth
18to25,6,Oregon,meth
26plus,39,Oregon,meth
All,45,Oregon,meth
12to17,2,Pennsylvania,meth
18to25,12,Pennsylvania,meth
26plus,63,Pennsylvania,meth
All,77,Pennsylvania,meth
12to17,0,Rhode Island,meth
18to25,1,Rhode Island,meth
26plus,3,Rhode Island,meth
All,4,Rhode Island,meth
12to17,1,South Carolina,meth
18to25,4,South Carolina,meth
26plus,20,South Carolina,meth
All,24,South Carolina,meth
12to17,0,South Dakota,meth
18to25,1,South Dakota,meth
26plus,3,South Dakota,meth
All,5,South Dakota,meth
12to17,1,Tennessee,meth
18to25,7,Tennessee,meth
26plus,49,Tennessee,meth
All,58,Tennessee,meth
12to17,3,Texas,meth
18to25,22,Texas,meth
26plus,94,Texas,meth
All,119,Texas,meth
12to17,1,Utah,meth
18to25,5,Utah,meth
26plus,16,Utah,meth
All,22,Utah,meth
12to17,0,Vermont,meth
18to25,1,Vermont,meth
26plus,3,Vermont,meth
All,4,Vermont,meth
12to17,1,Virginia,meth
18to25,5,Virginia,meth
26plus,22,Virginia,meth
All,28,Virginia,meth
12to17,1,Washington,meth
18to25,6,Washington,meth
26plus,40,Washington,meth
All,47,Washington,meth
12to17,0,West Virginia,meth
18to25,3,West Virginia,meth
26plus,17,West Virginia,meth
All,21,West Virginia,meth
12to17,1,Wisconsin,meth
18to25,7,Wisconsin,meth
26plus,32,Wisconsin,meth
All,40,Wisconsin,meth
12to17,0,Wyoming,meth
18to25,1,Wyoming,meth
26plus,2,Wyoming,meth
All,3,Wyoming,meth
12to17,13,Alabama,tobacco
18to25,111,Alabama,tobacco
26plus,808,Alabama,tobacco
All,932,Alabama,tobacco
12to17,2,Alaska,tobacco
18to25,14,Alaska,tobacco
26plus,86,Alaska,tobacco
All,102,Alaska,tobacco
12to17,10,Arizona,tobacco
18to25,134,Arizona,tobacco
26plus,801,Arizona,tobacco
All,945,Arizona,tobacco
12to17,8,Arkansas,tobacco
18to25,70,Arkansas,tobacco
26plus,485,Arkansas,tobacco
All,564,Arkansas,tobacco
12to17,37,California,tobacco
18to25,553,California,tobacco
26plus,3196,California,tobacco
All,3786,California,tobacco
12to17,13,Colorado,tobacco
18to25,114,Colorado,tobacco
26plus,658,Colorado,tobacco
All,784,Colorado,tobacco
12to17,4,Connecticut,tobacco
18to25,61,Connecticut,tobacco
26plus,361,Connecticut,tobacco
All,426,Connecticut,tobacco
12to17,1,Delaware,tobacco
18to25,17,Delaware,tobacco
26plus,126,Delaware,tobacco
All,143,Delaware,tobacco
12to17,30,Florida,tobacco
18to25,276,Florida,tobacco
26plus,2524,Florida,tobacco
All,2830,Florida,tobacco
12to17,19,Georgia,tobacco
18to25,168,Georgia,tobacco
26plus,1245,Georgia,tobacco
All,1432,Georgia,tobacco
12to17,1,Hawaii,tobacco
18to25,18,Hawaii,tobacco
26plus,143,Hawaii,tobacco
All,163,Hawaii,tobacco
12to17,4,Idaho,tobacco
18to25,32,Idaho,tobacco
26plus,191,Idaho,tobacco
All,228,Idaho,tobacco
12to17,18,Illinois,tobacco
18to25,212,Illinois,tobacco
26plus,1506,Illinois,tobacco
All,1736,Illinois,tobacco
12to17,18,Indiana,tobacco
18to25,185,Indiana,tobacco
26plus,1051,Indiana,tobacco
All,1254,Indiana,tobacco
12to17,10,Iowa,tobacco
18to25,72,Iowa,tobacco
26plus,461,Iowa,tobacco
All,542,Iowa,tobacco
12to17,5,Kansas,tobacco
18to25,54,Kansas,tobacco
26plus,376,Kansas,tobacco
All,436,Kansas,tobacco
12to17,16,Kentucky,tobacco
18to25,120,Kentucky,tobacco
26plus,797,Kentucky,tobacco
All,933,Kentucky,tobacco
12to17,12,Louisiana,tobacco
18to25,103,Louisiana,tobacco
26plus,728,Louisiana,tobacco
All,843,Louisiana,tobacco
12to17,4,Maine,tobacco
18to25,26,Maine,tobacco
26plus,172,Maine,tobacco
All,201,Maine,tobacco
12to17,8,Maryland,tobacco
18to25,95,Maryland,tobacco
26plus,648,Maryland,tobacco
All,751,Maryland,tobacco
12to17,11,Massachusetts,tobacco
18to25,132,Massachusetts,tobacco
26plus,718,Massachusetts,tobacco
All,861,Massachusetts,tobacco
12to17,20,Michigan,tobacco
18to25,212,Michigan,tobacco
26plus,1384,Michigan,tobacco
All,1616,Michigan,tobacco
12to17,13,Minnesota,tobacco
18to25,111,Minnesota,tobacco
26plus,642,Minnesota,tobacco
All,766,Minnesota,tobacco
12to17,10,Mississippi,tobacco
18to25,71,Mississippi,tobacco
26plus,511,Mississippi,tobacco
All,593,Mississippi,tobacco
12to17,16,Missouri,tobacco
18to25,138,Missouri,tobacco
26plus,855,Missouri,tobacco
All,1009,Missouri,tobacco
12to17,4,Montana,tobacco
18to25,32,Montana,tobacco
26plus,151,Montana,tobacco
All,187,Montana,tobacco
12to17,4,Nebraska,tobacco
18to25,43,Nebraska,tobacco
26plus,237,Nebraska,tobacco
All,285,Nebraska,tobacco
12to17,5,Nevada,tobacco
18to25,46,Nevada,tobacco
26plus,383,Nevada,tobacco
All,434,Nevada,tobacco
12to17,3,New Hampshire,tobacco
18to25,29,New Hampshire,tobacco
26plus,141,New Hampshire,tobacco
All,173,New Hampshire,tobacco
12to17,11,New Jersey,tobacco
18to25,128,New Jersey,tobacco
26plus,852,New Jersey,tobacco
All,991,New Jersey,tobacco
12to17,5,New Mexico,tobacco
18to25,52,New Mexico,tobacco
26plus,281,New Mexico,tobacco
All,337,New Mexico,tobacco
12to17,24,New York,tobacco
18to25,326,New York,tobacco
26plus,2053,New York,tobacco
All,2403,New York,tobacco
12to17,23,North Carolina,tobacco
18to25,205,North Carolina,tobacco
26plus,1502,North Carolina,tobacco
All,1731,North Carolina,tobacco
12to17,2,North Dakota,tobacco
18to25,20,North Dakota,tobacco
26plus,99,North Dakota,tobacco
All,121,North Dakota,tobacco
12to17,33,Ohio,tobacco
18to25,283,Ohio,tobacco
26plus,1763,Ohio,tobacco
All,2079,Ohio,tobacco
12to17,14,Oklahoma,tobacco
18to25,113,Oklahoma,tobacco
26plus,639,Oklahoma,tobacco
All,766,Oklahoma,tobacco
12to17,9,Oregon,tobacco
18to25,86,Oregon,tobacco
26plus,477,Oregon,tobacco
All,572,Oregon,tobacco
12to17,27,Pennsylvania,tobacco
18to25,284,Pennsylvania,tobacco
26plus,1761,Pennsylvania,tobacco
All,2072,Pennsylvania,tobacco
12to17,1,Rhode Island,tobacco
18to25,22,Rhode Island,tobacco
26plus,125,Rhode Island,tobacco
All,148,Rhode Island,tobacco
12to17,14,South Carolina,tobacco
18to25,111,South Carolina,tobacco
26plus,786,South Carolina,tobacco
All,912,South Carolina,tobacco
12to17,3,South Dakota,tobacco
18to25,19,South Dakota,tobacco
26plus,112,South Dakota,tobacco
All,134,South Dakota,tobacco
12to17,20,Tennessee,tobacco
18to25,165,Tennessee,tobacco
26plus,995,Tennessee,tobacco
All,1180,Tennessee,tobacco
12to17,55,Texas,tobacco
18to25,568,Texas,tobacco
26plus,3291,Texas,tobacco
All,3913,Texas,tobacco
12to17,6,Utah,tobacco
18to25,54,Utah,tobacco
26plus,232,Utah,tobacco
All,291,Utah,tobacco
12to17,2,Vermont,tobacco
18to25,18,Vermont,tobacco
26plus,76,Vermont,tobacco
All,96,Vermont,tobacco
12to17,18,Virginia,tobacco
18to25,185,Virginia,tobacco
26plus,966,Virginia,tobacco
All,1169,Virginia,tobacco
12to17,13,Washington,tobacco
18to25,125,Washington,tobacco
26plus,942,Washington,tobacco
All,1081,Washington,tobacco
12to17,7,West Virginia,tobacco
18to25,54,West Virginia,tobacco
26plus,336,West Virginia,tobacco
All,397,West Virginia,tobacco
12to17,11,Wisconsin,tobacco
18to25,119,Wisconsin,tobacco
26plus,750,Wisconsin,tobacco
All,880,Wisconsin,tobacco
12to17,2,Wyoming,tobacco
18to25,16,Wyoming,tobacco
26plus,78,Wyoming,tobacco
All,96,Wyoming,tobacco
12to17,12,Alabama,total
18to25,68,Alabama,total
26plus,227,Alabama,total
All,306,Alabama,total
12to17,3,Alaska,total
18to25,13,Alaska,total
26plus,41,Alaska,total
All,57,Alaska,total
12to17,27,Arizona,total
18to25,106,Arizona,total
26plus,283,Arizona,total
All,417,Arizona,total
12to17,9,Arkansas,total
18to25,38,Arkansas,total
26plus,125,Arkansas,total
All,171,Arkansas,total
12to17,137,California,total
18to25,673,California,total
26plus,2105,California,total
All,2915,California,total
12to17,24,Colorado,total
18to25,124,Colorado,total
26plus,390,Colorado,total
All,537,Colorado,total
12to17,10,Connecticut,total
18to25,72,Connecticut,total
26plus,163,Connecticut,total
All,245,Connecticut,total
12to17,3,Delaware,total
18to25,16,Delaware,total
26plus,50,Delaware,total
All,69,Delaware,total
12to17,56,Florida,total
18to25,241,Florida,total
26plus,766,Florida,total
All,1062,Florida,total
12to17,30,Georgia,total
18to25,135,Georgia,total
26plus,384,Georgia,total
All,549,Georgia,total
12to17,4,Hawaii,total
18to25,20,Hawaii,total
26plus,70,Hawaii,total
All,93,Hawaii,total
12to17,7,Idaho,total
18to25,25,Idaho,total
26plus,75,Idaho,total
All,107,Idaho,total
12to17,42,Illinois,total
18to25,193,Illinois,total
26plus,584,Illinois,total
All,819,Illinois,total
12to17,23,Indiana,total
18to25,109,Indiana,total
26plus,316,Indiana,total
All,448,Indiana,total
12to17,12,Iowa,total
18to25,54,Iowa,total
26plus,139,Iowa,total
All,205,Iowa,total
12to17,10,Kansas,total
18to25,45,Kansas,total
26plus,111,Kansas,total
All,166,Kansas,total
12to17,14,Kentucky,total
18to25,59,Kentucky,total
26plus,207,Kentucky,total
All,280,Kentucky,total
12to17,12,Louisiana,total
18to25,58,Louisiana,total
26plus,221,Louisiana,total
All,291,Louisiana,total
12to17,4,Maine,total
18to25,21,Maine,total
26plus,74,Maine,total
All,100,Maine,total
12to17,17,Maryland,total
18to25,87,Maryland,total
26plus,236,Maryland,total
All,340,Maryland,total
12to17,20,Massachusetts,total
18to25,139,Massachusetts,total
26plus,344,Massachusetts,total
All,503,Massachusetts,total
12to17,30,Michigan,total
18to25,162,Michigan,total
26plus,424,Michigan,total
All,615,Michigan,total
12to17,20,Minnesota,total
18to25,87,Minnesota,total
26plus,238,Minnesota,total
All,346,Minnesota,total
12to17,8,Mississippi,total
18to25,37,Mississippi,total
26plus,121,Mississippi,total
All,166,Mississippi,total
12to17,19,Missouri,total
18to25,88,Missouri,total
26plus,271,Missouri,total
All,377,Missouri,total
12to17,4,Montana,total
18to25,18,Montana,total
26plus,64,Montana,total
All,87,Montana,total
12to17,6,Nebraska,total
18to25,31,Nebraska,total
26plus,79,Nebraska,total
All,116,Nebraska,total
12to17,13,Nevada,total
18to25,48,Nevada,total
26plus,169,Nevada,total
All,230,Nevada,total
12to17,4,New Hampshire,total
18to25,28,New Hampshire,total
26plus,68,New Hampshire,total
All,100,New Hampshire,total
12to17,22,New Jersey,total
18to25,126,New Jersey,total
26plus,333,New Jersey,total
All,482,New Jersey,total
12to17,9,New Mexico,total
18to25,34,New Mexico,total
26plus,88,New Mexico,total
All,131,New Mexico,total
12to17,52,New York,total
18to25,295,New York,total
26plus,836,New York,total
All,1184,New York,total
12to17,31,North Carolina,total
18to25,146,North Carolina,total
26plus,430,North Carolina,total
All,607,North Carolina,total
12to17,3,North Dakota,total
18to25,15,North Dakota,total
26plus,35,North Dakota,total
All,53,North Dakota,total
12to17,38,Ohio,total
18to25,178,Ohio,total
26plus,531,Ohio,total
All,747,Ohio,total
12to17,14,Oklahoma,total
18to25,59,Oklahoma,total
26plus,175,Oklahoma,total
All,248,Oklahoma,total
12to17,17,Oregon,total
18to25,73,Oregon,total
26plus,250,Oregon,total
All,339,Oregon,total
12to17,32,Pennsylvania,total
18to25,195,Pennsylvania,total
26plus,533,Pennsylvania,total
All,760,Pennsylvania,total
12to17,3,Rhode Island,total
18to25,22,Rhode Island,total
26plus,53,Rhode Island,total
All,78,Rhode Island,total
12to17,15,South Carolina,total
18to25,63,South Carolina,total
26plus,200,South Carolina,total
All,278,South Carolina,total
12to17,3,South Dakota,total
18to25,13,South Dakota,total
26plus,37,South Dakota,total
All,53,South Dakota,total
12to17,21,Tennessee,total
18to25,90,Tennessee,total
26plus,284,Tennessee,total
All,395,Tennessee,total
12to17,87,Texas,total
18to25,389,Texas,total
26plus,971,Texas,total
All,1447,Texas,total
12to17,12,Utah,total
18to25,47,Utah,total
26plus,99,Utah,total
All,158,Utah,total
12to17,2,Vermont,total
18to25,14,Vermont,total
26plus,37,Vermont,total
All,53,Vermont,total
12to17,23,Virginia,total
18to25,131,Virginia,total
26plus,342,Virginia,total
All,496,Virginia,total
12to17,26,Washington,total
18to25,115,Washington,total
26plus,385,Washington,total
All,527,Washington,total
12to17,6,West Virginia,total
18to25,24,West Virginia,total
26plus,65,West Virginia,total
All,94,West Virginia,total
12to17,19,Wisconsin,total
18to25,97,Wisconsin,total
26plus,261,Wisconsin,total
All,377,Wisconsin,total
12to17,2,Wyoming,total
18to25,8,Wyoming,total
26plus,26,Wyoming,total
All,36,Wyoming,total
All,8,Hawaii,total
All,13.65,Alaska,total
